what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686293293
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686296990
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686311779
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1467686311794
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1467686311794
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686312262
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686320250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686324087
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686327238
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686331372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686334696
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686335023
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686360078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686361341
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686631476
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1467686632583
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1467686634658
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1467686635438
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686644798
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686647312
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1467686658653
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1467686663677
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1467686666407
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1467686668341
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1467686668341
